Emory University Bookstore,605 Asbury Circle,,Atlanta,GA,30322,404,727-6222,404-727-6222,emory@bkstr.com,549,P.O. Drawer F,http://www.bkstr.com/CategoryDisplay/10001-10002-10409-1?demoKey=d
Fayetteville University Bookstore,Helen T. Chick Building,1200 Murchison Road,Fayetteville,NC,28301,910,672-1322,910-672-1322,fayetteville@bkstr.com,320,,http://www.bkstr.com/Home/10001-10315-1?demoKey=d
Florida State Bookstore ,Florida State University Bookstore,"Parking Garage, Main Level",Tallahassee,FL,32306,850,644-2072,850-644-2072,fsu@bkstr.com,208,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=11003&langId=-1&catalogId=10001
Univ of Texas PanAm Bookstore,1201 W University Dr,,Edinburg,TX,78541,956,381-2252,956-381-2252,utpa@bkstr.com,34,,http://www.bkstr.com/Home/10001-13728-1?demoKey=d
Emmanuel College Campus Store,400 The Fenway,,Boston,MA,02115,617,264-7697,617-264-7697,emmanuel@bkstr.com,43,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=13178&langId=-1&catalogId=10001
Northwestern Oklahoma State University Bookstore,709 Oklahoma Blvd,Student Center,Alva,OK,73717,580,327-8618,580-327-8618,nwosu@bkstr.com,61,,http://www.bkstr.com/CategoryDisplay/10001-10002-11228-1?demoKey=d
University of Baltimore Bookstore,21 W Mount Royal,Student Center,Baltimore,MD,21201,410,837-5604,410-837-5604,ub@bkstr.com,313,,http://www.efollett.com/CategoryDisplay/10001-10003-10280-1?demoKey=d
University of North Texas Bookstore,Union Building,410 Avenue A,Denton,TX,76201,940,565-2592,940-565-2592,unt@bkstr.com,413,,http://www.bkstr.com/Home/10001-10563-1?demoKey=d
Georgia State University Bookstore,66 Courtland St,University Center,Atlanta,GA,30303,404,651-2155,404-651-2155,gsu@bkstr.com,570,,http://www.bkstr.com/CategoryDisplay/10001-38976-10489-1?demoKey=d
Stanford University Bookstore,519 Lasuen Mall,Stanford University Bookstore,Stanford,CA,94305,650,329-1217,650-329-1217,stanford@bkstr.com,670,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10161&langId=-1&catalogId=10001
Stanford Medical Tech Bookstore,135 University Ave,Stanford University,Palo Alto,CA,94301,650,614-0280,650-614-0280,0675mgr@fheg.follett.com,675,,http://www.bkstr.com/CategoryDisplay/10001-10001-10175-1?demoKey=d
Mt St. Mary's College Bookstore - Chalon,12001 Chalon Rd,"Chalon Campus Bookstore, Fine Arts Bldg",Los Angeles,CA,90049,310,471-2362,310-471-2362,msmc@bkstr.com,722,,http://www.efollett.com/CategoryDisplay/10001-10001-11503-1?demoKey=d
Mt St. Mary's College Bookstore - Doheny,10 Chester Place,"Oheny Campus Bookstore, Frtiz Burns Bldg",Los Angeles,CA,90007,213,477-2500,213-477-2500,msmc@bkstr.com,723,,
Georgetown University Bookstore,3800 Reservoir Rd NW,Leavey Ctr,Washington,DC,20057,202,687-7492,202-687-7492,georgetown@bkstr.com,873,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?langId=-1&catalogId=10001&storeId=11006
Follett's Bookstore,627 South Wright Street,,Champaign,IL,61820,217 356 1368,,217-356-1368,uofi@bkstr.com,221,,http://www.bkstr.com/Home/10001-10742-1?demoKey=d
Miami Coop Bookstore,110 East High St,,Oxford,OH,45056,513,523-4900,513-523-4900,miamicoop@bkstr.com,161,P.O. Box 69,http://www.bkstr.com/CategoryDisplay/10001-10003-10488-1?demoKey=d
Ohio University Bookstore,63 South Court,,Athens,OH,45701,740,593-5547,740-593-5547,folletts-ohio@bkstr.com,111,,http://www.bkstr.com/webapp/wcs/stores/servlet/HelpContactView?langId=-1&catalogId=10001&storeId=10324&demoKey=d
George Washington Bookstore,800 21st Street NW,Marvin Ctr,Washington,DC,20052,202,994-6870,202-994-6870,gwu@bkstr.com,122,,http://www.bkstr.com/Home/10001-10370-1?demoKey=d
Hammes Notre Dame Bookstore,University of Notre Dame Catalog Fulfillment Center,1610 North Ironwood,South Bend,IN,46635,574,631-6316,574-631-6316,nd@bkstr.com,700,,http://www.bkstr.com/Home/10001-10900-1?demoKey=d
James Madison University Bookstore,MSC 2902,,Harrisonburg,VA,22807,540,568-6296,540-568-6296,jmu@bkstr.com,712,,http://www.bkstr.com/CategoryDisplay/10001-9606-10317-1?demoKey=d
John Carroll University Bookstore,20700 North Park Blvd,ATTN Bookstore,University Heights,OH,44118,216,397-4411,216-397-4411,jcu@bkstr.com,70,,http://www.bkstr.com/CategoryDisplay/10001-10001-10071-1?demoKey=d
Kent State University Bookstore ,Kent Student Bldg Rm 124,,Kent,OH,44242,330,672-2762,330-672-2762,kent@bkstr.com,732,,http://www.bkstr.com/Home/10001-10064-1?demoKey=d
Loyola College Bookstore,Andrew White Student Center,4501 North Charles Street,Baltimore,MD,21210,410,617-2291,410-617-2291,lcb@bkstr.com,816,,http://www.bkstr.com/Home/10001-10660-1?demoKey=d
LSU Alexandria Bookstore,R111 W. Wing Student Center,Middleton Drive - 8100 Hwy 71 S,Alexandria,LA,71302,318,473-6420,318-473-6420,lsua@bkstr.com,72,,http://www.bkstr.com/Home/10001-11278-1?demoKey=d
Marquette University Bookstore,818 N 16TH St,,Milwaukee,WI,53233,414,288-7317,414-288-7317,marquette@bkstr.com,112,,http://www.bkstr.com/Home/10001-10331-1?demoKey=d
Marshall University Bookstore,5th Ave & 1 John Marshall Drive,Memorial Student Ctr,Huntington,WV,25701,304,696-3622,304-696-3622,marshall@bkstr.com,419,,http://www.bkstr.com/Home/10001-10587-1?demoKey=d
Matador Bookstore - Cal State,California State University at Northridge,18111 Nordhoff Street,Northridge,CA,91330,818,677-2932,818-677-2932,matador@bkstr.com,150,,http://www.bkstr.com/Home/10001-10057-1?demoKey=d
Morehouse College Bookstore,830 Westview Drive SW,,Atlanta,GA,30314,404,507-8685,404-507-8685,morehouse@bkstr.com,598,,
Purdue University-North Central Campus Shop,LSF Building,1402 South U.S. Highway 421,Westville,IN,46391,219,785-5482,219-785-5482,purduenc@bkstr.com,153,,http://www.efollett.com/CategoryDisplay/10001-10003-10403-1?demoKey=d
Orange Bookstore,Marshall Square Mall,720 University Avenue,Syracuse,NY,13210,315,478-6821,315-478-6821,syracuse.orange@bkstr.com,166,,http://www.efollett.com/Home/10001-10504-1?demoKey=d
Purdue Village Bookstore,308 W. State St.,,West Lafayette,IN,47906,765,743-4616,765-743-4616,,302,,
Purdue-West Bookstore,1400 West State Street,,West Lafayette,IN,47906,765,743-9642,765-743-9642,purdue@bkstr.com,303,,http://www.bkstr.com/CategoryDisplay/10001-10003-10258-1?demoKey=d&top=Y
Rutgers Bookstore,One Penn Plaza,Ferren Mall,New Brunswick,NJ,08901,732,246-8448,732-246-8448,rutgers850@bkstr.com,850,,http://www.bkstr.com/Home/10001-10067-1?demoKey=d
Sarah Lawrence Bookstore,Mac Cracken,1 Mead Way,Bronxville,NY,10708,,,,slc@bkstr.com,,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10519&langId=-1&catalogId=10001
Savannah State University Bookstore,King-Frazier Student Union Building,3219 College Street,Savannah,GA,31404,912,356-8456,912-356-8456,ssu@bkstr.com,90,,http://www.efollett.com/Home/10001-10168-1?demoKey=d
Southeastern Louisiana University Bookstore,500 Western Ave,,Hammond,LA,70402,985,549-5393,985-549-5393,selu@bkstr.com,190,,http://www.bkstr.com/Home/10001-10616-1?demoKey=d
Shenandoah University Bookstore,Howe Building,1460 University Drive,Winchester,VA,22601,540,665-4523,540-665-4523,Shenandoah@bkstr.com,957,,http://www.bkstr.com/Home/10001-13853-1?demoKey=d
SIU University Bookstore,Student Center,1255 Lincoln Drive,Carbondale,IL,62901,618,536-3321,618-536-3321,bookstor@siu.edu,625,,http://www.bkstr.com/Home/10001-10728-1?demoKey=d
South Carolina State University Bookstore,300 College Street,,Orangeburg,SC,29117,803,536-7095,803-536-7095,0035mgr@fheg.follett.com,35,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=13703&langId=-1&catalogId=10001
Spelman College Bookstore,Manley College Center,"350 Spellman Street, NW",Atlanta,GA,30314,404,523-8520,404-523-8520,spelman@bkstr.com,334,,http://www.bkstr.com/Home/10001-10355-1?demoKey=d
Springfield College Bookstore,Woods Hall,263 Alden Street,Springfield,MA,01109,413,748-3597,413-748-3597,spfld@bkstr.com,551,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10419&langId=-1&catalogId=10001
St. John's University,St. John's University,Marillac Hall,Jamaica,NY,11439,718,969-6032,718-969-6032,stjohns@bkstr.com,65,,http://www.bkstr.com/Home/10001-11030-1?demoKey=d
The Cal Student Store   ,108 Martin Luther King Jr.,Student Union #4504,Berkeley,CA,94720,510,642-9000 ext 661,510-642-9000 ext 661,ucberkeley@bkstr.com,554,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10433&langId=-1&catalogId=10001
The Cove - Cal State University Bookstore,Student Store - CSU Channel Islands,"One University Drive, Bell Tower Building",Camarillo,CA,93012,805,437-8833,805-437-8833,csuci@bkstr.com,591,,http://www.efollett.com/Home/10001-10978-1?demoKey=d
The Hornet Bookstore,6000 J Street,,Sacramento,CA,95819,916,278-6446,916-278-6446,sacstate@bkstr.com,37,,http://www.bkstr.com/Home/10001-13528-1?demoKey=d
The University of Miami Bookstore,Whitten University Center,1306 Stanford Drive - P.O. Box 248086,Coral Gables,FL,33146,305,284-4101,305-284-4101,miami@bkstr.com,475,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10062&langId=-1&catalogId=10001
UMass Amherst Bookstore,Campus Center,,Amherst,MA,01003,413,545-2619,413-545-2619,umass@bkstr.com,790,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10571&langId=-1&catalogId=10001
UMass Bookstore,Campus Center,100 Morrissey Boulevard,Boston,MA,02125,617,287-5090,617-287-5090,umb@bkstr.com,530,,http://www.bkstr.com/Home/10001-10348-1?demoKey=d
University of Alabama-Huntsville Bookstore,University Center-UAH Bookstore,301 Sparkman Drive,Huntsville,AL,35899,256,824-6604,256-824-6604,uah@bkstr.com,318,,http://www.bkstr.com/Home/10001-10307-1?demoKey=d
University of Cincinnati Bookstore,Tangeman University Center - Room #365,2766 UC Main Street,Cincinnati,OH,45211,513,556-1700,513-556-1700,uc@bkstr.com,32,,http://www.bkstr.com/Home/10001-13705-1?demoKey=d
University of Nebraska- Lincoln Bookstore,1820 R Street,P.O. Box 880460,Lincoln,NE,68588,402,472-7300,402-472-7300,unlbookstore@bkstr.com,507,,http://www.bkstr.com/Home/10001-10287-1?demoKey=d
University of North Florida Bookstore,4567 St. John's Bluff Road South,,Jacksonville,FL,32224,904,620-1251,904-620-1251,unf@bkstr.com,647,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10077&langId=-1&catalogId=10001
University of Tulsa Bookstore,Allen Chapman Activity Center,440 South Gary Avenue,Tulsa,OK,74104,918,631-2206,918-631-2206,tulsa@bkstr.com,121,,http://www.bkstr.com/Home/10001-10365-1?demoKey=d
University of Oklahoma Union Bookstore,"Memorial Union, Room 100",900 Asp Avenue,Norman,OK,73019,405,325-2171,405-325-2171,oklahomaunion@bkstr.com,833,,http://www.bkstr.com/Home/10001-10703-1?demoKey=d
University of Florida Bookstore,Building 886 - Museum Road,P.O. Box 118450,Gainesville,FL,32611,352,392-0194,352-392-0194,ufl@bkstr.com,779,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10901&langId=-1&catalogId=10001
University of Georgia Bookstore  ,723 Baxter Street,,Athens,GA,30605,706,369-7399,706-369-7399,ftxgeorgia@bkstr.com,95,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10347&langId=-1&catalogId=10001
Vanderbilt University Bookstore,Rand Hall,,Nashville,TN,37240,615,322-2994,615-322-2994,vandy@bkstr.com,695,,http://www.bkstr.com/Home/10001-10244-1?demoKey=d
VCU eSquared Bookstore,1111 W Broad St.,,Richmond,VA,23284,804,828-1678,804-828-1678,vcu@bkstr.com,146,,http://www.bkstr.com/Home/10001-10372-1?demoKey=d
Washington University Campus Store,Mallinckrodt Center,6465 Forsyth Blvd,St.Louis,MO,63105,314,935-5500,314-935-5500,wustl@bkstr.com,582,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10537&langId=-1&catalogId=10001
Water Street Bookstore - William's College ,26 Water Street,,Williamstown,MA,01267,413,458-8071,413-458-8071,waterstreet@bkstr.com,506,,http://www.bkstr.com/Home/10001-10283-1?demoKey=d
Xavier Bookstore ,Gallagher Student Center,Level One,Cincinnati,OH,45207,513,745-3311,513-745-3311,xavier@bkstr.com,565,,http://www.bkstr.com/Home/10001-10476-1?demoKey=d
