Urbana University Bookstore,,579 College Way,Urbana,OH,43078    ,937-484-1321,http://urbana.bkstore.com/
University of Akron Bookstore- Polsky Campus,225 S Main St.,Polsky Bldg 3rd Fl,Akron,OH,44325,330-972-8166,http://uakron-polsky.bkstore.com/
University of Central Oklahoma Bookstore,100 N University Dr.,University Store,Edmond,OK,73034    ,405-974-2736,http://ucok.bkstore.com/
Oklahoma Baptist University Bookstore,,500 W University,Shawnee,OK,74804    ,405-878-2411,http://okbu.bkstore.com/
Southeastern Oklahoma State Bookstore,,1408 N Fifth,Durant,OK,74701    ,580-745-2960,http://sosu.bkstore.com/
Rogers State University Bookstore,,1701 Will Rogers Blvd,Claremore,OK,74017,918-343-7847,http://rsu.bkstore.com/
Pacific University Bookstore,,2043 College Way,Forest Grove,OR,97116    ,503-352-2224,http://pacific1.bkstore.com/bkstore/content
University of Portland Bookstore,,5000 N Willamette Blvd,Portland,OR,97203    ,503-943-7125,http://uportland.bkstore.com/
Lewis & Clark College Bookstore,,0615 SW Palatine Hill Rd,Portland,OR,97219    ,503-768-7885,http://lclark.bkstore.com/
Duquesne University Bookstore,1000 Locust St.,Duquesne Union,Pittsburgh,PA,15282    ,412-434-6626,http://duquesne.bkstore.com/
La Salle University Bookstore,,1900 W Olney Ave,Philadelphia,PA,19141    ,215-951-1395,http://lasalle.bkstore.com/
Robert Morris University- Moon Campus,,6001 University Blvd,Moon Township,PA,15108    ,412-262-2757,http://robert-morris.bkstore.com/
Penn State Bookstore Altoona,Bookstore Building,Penn State University,Altoona,PA,16603    ,814-949-5121,http://psualtoona1.bkstore.com/bkstore/content
Penn State Erie Bookstore,Station Rd.,Behrend College,Erie,PA,16563,814-898-6236,http://psuerie1.bkstore.com/bkstore/content
Penn State Bookstore Harrisburg,777 West Harrisburg Pike,Capitol College,Middletown,PA,17057,717-948-6286,http://psuharrisburg1.bkstore.com/bkstore/content
Penn State Bookstore Mont Alto,,1 Campus Drive,Mont Alto,PA,17237    ,,
Point Park College Bookstore,,201 Wood St,Pittsburgh,PA,15222    ,412-392-3448,http://ppc.bkstore.com/
Ursinus College Bookstore,,Main Street,Collegeville,PA,19426    ,610-409-3584,http://ursinus.bkstore.com/
Providence College Bookstore,549 River Ave.,Slavin Student Center,Providence,RI,02918    ,401-865-2181,http://providence.bkstore.com/
Johnson & Wales University Bookstore,1 Weybosset Hill,Downtown Campus ,Providence,RI,02903    ,401-598-1105,http://jwu.bkstore.com/
Clemson University Bookstore,Hendrix Student Ctr,Palmetto Blvd. & McMillan,Clemson,SC,29634    ,864-656-2050,http://clemson.bkstore.com/
Charleston Southern University Bookstore,,9200 University Blvd.,Charleston,SC,29406    ,843-863-8017,http://csuniv.bkstore.com/
York Technical College Bookstore,,452 S Anderson Rd.,Rock Hill,SC,29730    ,803-327-8011,http://yorktech.bkstore.com/
Augustana College Bookstore,2001 S. Summit,Morrison Commons Bldg,Sioux Falls,SD,57197    ,605-274-4417,http://augustana.bkstore.com/
University of South Dakota Bookstore,,414 E Clark St,Vermillion,SD,57069    ,605-677-6291,http://usd.bkstore.com/
University of Tennessee Bookstore- Chattanooga,University Center,651 A E 5th St,Chattanooga,TN,37403    ,423-425-4107,http://utc.bkstore.com/
University of Memphis Bookstore,,506 University Drive,Memphis,TN,38152    ,901-678-2011,http://umemphis.bkstore.com/
Tennessee Tech Bookstore,,Dixie Avenue,Cookeville,TN,38505    ,931-372-3131,http://tenn-tech.bkstore.com/
University of Tennessee- Martin,Boling University Center,245 Boling University,Martin,TN,38238,731-881-7760,http://utm1.bkstore.com/bkstore/content
Student Book Exchange,,817 W Walnut St Ste 2,Johnson City,TN,37604    ,423-926-4040,
Stephen F Austin State University,SFA Station,1936 North St.,Nacogdoches,TX,75965    ,936-468-2108,http://sfasu.bkstore.com/
University of Texas at Brownsville,,83 Fort Brown,Brownsville,TX,785204956,956-882-8249,http://utb.bkstore.com/
Trinity University Bookstore,,715 Stadium Dr,San Antonio,TX,78212    ,210-999-7227,http://trinityuniv.bkstore.com/
Midwestern State University Bookstore,,3410 Taft Street,Wichita Falls,TX,76308,940-397-4225,http://mwsu.bkstore.com/
Texas Womens University Bookstore,Bell Ave.,Student Center,Denton,TX,76204,940-898-3103,http://twu.bkstore.com/
University of Texas at Dallas Bookstore,,2601 N Floyd Rd,Richardson,TX,75083    ,972-883-2665,http://utdallas.bkstore.com/
University of Houston Bookstore- Clear Lake,,2700 Bay Area Blvd,Clear Lake,TX,77058,281-283-2180,http://uhclearlake.bkstore.com/
University of Texas at San Antonio Bookstore,,6900 N Loop 1604 W,San Antonio,TX,78249    ,210-458-4220,http://utsa.bkstore.com/
Sam Houston State University Bookstore,,1805 Ave J Lowman Student Center,Huntsville,TX,773412086,936-294-1862,http://shsu.bkstore.com/
Tarleton State University Bookstore,Student Devel Ctr.,1452 W Jones St,Stephenville,TX,76402    ,254-968-9007,http://tarleton.bkstore.com/
University of Houston- Downtown,Ste 351,One Main St,Houston,TX,77002    ,713-221-8025,http://uh-downtown.bkstore.com/
Lamar University Bookstore,Student Center,Adjacent to Setzer,Beaumont,TX,77710    ,409-880-8342,http://lamar.bkstore.com/
Texas A&M International University Bookstore,,5201 University Blvd,Laredo,TX,78041,956-326-2080,http://tamiu.bkstore.com/
Old Dominion University Bookstore,,Webb Center Hampton Blvd,Norfolk,VA,23529,757-683-0048,http://odu.bkstore.com/
Radford University Bookstore,Fairfax St.,Dalton Hall,Radford,VA,24142    ,540-831-5144,http://radford.bkstore.com/
Averett University Bookstore,,420 Main St.,Danville,VA,24541    ,434-791-5640,http://averett.bkstore.com/
Liberty University Bookstore,,1971 Univ Blvd,Lynchburg,VA,24502    ,434-582-2316,http://liberty.bkstore.com/
Longwood College Bookstore,,201 High St.,Farmville,VA,23909    ,434-395-2084,http://longwood.bkstore.com/
Seattle Pacific University Bookstore,,310 W Bertona St,Seattle,WA,98119,206-281-2137,http://spu.bkstore.com/
Washington State University,14200 NE Salmon Creek Ave.,The Vancouver Bookie,Vancouver,WA,98686    ,360-573-0447,http://wsubookie.bkstore.com/
Carthage College,,2001 Alford Park Dr.,Kenosha,WI,53140,262-551-5778,http://carthage.bkstore.com/
University of Wisconsin- Eau Claire,Davies Center,105 Garfield Ave,Eau Claire,WI,54702    ,715-836-2171,http://uwec.bkstore.com/
Fairmont State College Bookstore,Fairmont St. Coll,1201 Locust Ave,Fairmont,WV,26554,304-367-1965,http://fairmontstate.bkstore.com/
West Virginia Wesleyan College Bookstore,59 College Ave. Cmps Ctr.,,Buckhannon,WV,26201    ,304-473-8017,http://wvwc.bkstore.com/
West Liberty State College Bookstore,Rte 88,Student Union Bldg.,West Liberty,WV,26074    ,304-336-8211,http://wlsc.bkstore.com/
Potomac State College Boookstore,101 Fort Avenue,Arnold Street,Keyser,WV,26726    ,304-788-6908,http://wvupotomac.bkstore.com/
